Codigo,Estacao,UF,jan1,jan2,jan3,fev1,fev2,fev3,mar1,mar2,mar3,abr1,abr2,abr3,mai1,mai2,mai3,jun1,jun2,jun3,jul1,jul2,jul3,ago1,ago2,ago3,set1,set2,set3,out1,out2,out3,nov1,nov2,nov3,dez1,dez2,dez3
82879,SAO JOAO DO PIAUI,PI,41.3,34.5,46.7,47.6,52.2,29.2,32.0,40.5,46.5,35.5,20.4,12.9,8.4,7.8,6.8,1.0,0.4,0.2,0.1,0.7,0.1,0.0,0.0,0.0,0.0,0.1,1.2,3.7,6.5,12.2,21.0,22.4,28.7,24.6,31.7,27.5
83920,SAO JOAQUIM,SC,52.8,59.4,73.2,73.1,50.9,56.7,45.2,33.4,47.3,31.6,30.0,49.3,34.1,47.8,53.0,35.6,48.7,53.1,59.9,51.8,54.9,57.7,34.0,45.6,44.5,64.4,72.4,61.4,73.7,65.0,50.4,49.3,47.1,40.1,47.4,64.0
83736,SAO LOURENCO,MG,121.6,104.1,95.4,79.7,68.2,39.0,61.9,53.1,48.5,33.0,23.5,15.6,17.2,19.5,20.8,13.4,6.7,7.5,6.2,9.9,8.2,7.8,5.1,7.6,22.5,18.1,33.3,38.2,36.2,45.2,52.4,60.3,61.6,79.2,96.6,78.9
82280,SAO LUIS,MA,56.0,78.4,101.0,93.1,142.4,72.4,125.6,158.3,169.0,146.4,153.6,131.4,131.4,98.5,82.0,69.5,56.6,48.3,54.7,35.1,20.9,15.2,3.0,4.3,1.2,1.3,0.5,0.3,1.2,1.2,3.3,3.7,2.7,6.1,17.8,30.7
83907,SAO LUIZ GONZAGA,RS,53.6,60.3,56.8,57.1,61.3,40.0,56.9,41.3,55.7,59.7,59.1,75.5,35.8,57.3,75.5,45.9,45.5,41.4,44.4,34.6,45.0,33.4,33.8,37.4,36.6,61.3,48.7,83.4,87.3,93.7,72.4,49.3,47.2,52.4,64.4,82.2
83550,SAO MATEUS,ES,35.4,47.4,41.3,37.5,30.9,20.9,55.5,47.7,43.8,48.6,39.2,25.5,22.2,25.1,24.6,14.3,22.8,26.4,20.0,35.3,19.3,16.4,24.5,20.7,21.6,19.9,25.4,30.5,23.1,65.3,71.6,74.4,84.4,60.0,66.2,50.4
83781,SAO PAULO,SP,90.8,90.7,110.6,99.4,88.2,70.1,91.1,75.8,58.1,36.3,27.2,23.6,19.0,17.3,30.0,28.7,13.2,17.8,14.5,18.1,15.8,9.5,7.3,15.5,30.6,22.9,29.8,42.4,39.3,45.4,38.1,45.8,60.0,66.2,80.6,84.5
83669,SAO SIMAO,SP,107.4,98.2,75.9,58.1,81.1,59.2,53.3,48.6,43.8,24.4,18.7,13.2,12.1,19.1,23.9,15.0,6.7,6.3,2.4,5.6,7.2,4.7,6.7,8.1,20.3,16.1,24.7,36.1,36.5,42.0,42.3,61.1,68.6,75.3,71.1,81.8
82690,SERIDO ,RN,NaN,NaN,NaN,NaN,44.8,34.3,26.8,43.8,69.0,51.0,55.3,54.0,33.5,19.4,19.7,7.6,8.3,6.9,5.3,6.6,2.3,3.7,0.9,1.0,0.9,0.1,0.0,0.2,0.2,5.6,2.9,1.4,2.0,3.6,6.2,9.8
83190,SERRINHA,BA,14.7,37.7,29.0,17.2,20.6,18.3,24.6,24.6,21.6,15.7,20.4,27.2,21.8,23.3,26.6,29.1,34.1,27.0,23.3,25.3,20.8,18.7,19.1,15.3,15.3,10.2,13.4,7.9,13.9,11.9,14.5,17.6,25.3,22.8,17.4,15.7
